Positions
 Time	Position	Symbol	Type	Volume	Price	S / L	T / P	Time	Price	Commission	Swap	Profit	
 2026.04.01 11:50:00	152000016847	EURUSD	sell	0.01	 1.15436			2026.04.01 12:03:52	 1.15386	0.00	0.00	 0.01	
 2026.04.01 16:31:52	152000017222	EURUSD	sell	0.01	 1.15002			2026.04.01 16:44:12	 1.14952	0.00	0.00	 0.01	
 2026.04.01 21:30:12	152000017662	EURUSD	sell	0.01	 1.15431			2026.04.02 02:30:55	 1.15481	0.00	0.00	- 0.01	
 2026.04.02 07:14:55	152000018103	EURUSD	buy	0.01	 1.15507			2026.04.02 07:37:20	 1.15557	0.00	0.00	 0.01	
 2026.04.02 11:22:20	152000018397	EURUSD	sell	0.01	 1.15420			2026.04.02 11:39:45	 1.15370	0.00	0.00	 0.01	
 2026.04.02 16:35:45	152000018497	EURUSD	buy	0.01	 1.15548			2026.04.02 21:18:12	 1.15498	0.00	0.00	- 0.01	
 2026.04.03 02:54:12	152000018823	EURUSD	buy	0.01	 1.15322			2026.04.03 03:12:03	 1.15372	0.00	0.00	 0.01	
 2026.04.03 06:53:03	152000019068	EURUSD	sell	0.01	 1.15659			2026.04.03 12:15:55	 1.15709	0.00	0.00	- 0.01	
 2026.04.03 16:17:55	152000019283	EURUSD	sell	0.01	 1.15673			2026.04.03 19:34:44	 1.15723	0.00	0.00	- 0.01	
 2026.04.04 00:56:44	152000019776	EURUSD	buy	0.01	 1.15611			2026.04.04 01:08:54	 1.15661	0.00	0.00	 0.01	
 2026.04.04 06:40:54	152000020080	EURUSD	sell	0.01	 1.15384			2026.04.04 06:58:41	 1.15334	0.00	0.00	 0.01	
 2026.04.04 10:10:41	152000020292	EURUSD	sell	0.01	 1.15778			2026.04.04 10:33:51	 1.15728	0.00	0.00	 0.01	
 2026.04.04 15:36:51	152000020454	EURUSD	sell	0.01	 1.15249			2026.04.04 20:00:29	 1.15299	0.00	0.00	- 0.01	
 2026.04.05 01:22:29	152000020940	EURUSD	buy	0.01	 1.15595			2026.04.05 01:39:30	 1.15645	0.00	0.00	 0.01	
 2026.04.05 06:55:30	152000021320	EURUSD	sell	0.01	 1.15831			2026.04.05 07:18:40	 1.15781	0.00	0.00	 0.01	
 2026.04.05 11:22:40	152000021746	EURUSD	sell	0.01	 1.15752			2026.04.05 15:48:07	 1.15802	0.00	0.00	- 0.01	
 2026.04.05 19:45:07	152000022211	EURUSD	sell	0.01	 1.15440			2026.04.06 00:37:56	 1.15490	0.00	0.00	- 0.01	
 2026.04.06 03:45:56	152000022429	EURUSD	buy	0.01	 1.15138			2026.04.06 04:09:06	 1.15188	0.00	0.00	 0.01	
 2026.04.06 08:47:06	152000022767	EURUSD	sell	0.01	 1.15331			2026.04.06 11:58:40	 1.15381	0.00	0.00	- 0.01	
 2026.04.06 17:23:40	152000022877	EURUSD	sell	0.01	 1.15946			2026.04.06 17:38:17	 1.15896	0.00	0.00	 0.01	
