Positions
 Time	Position	Symbol	Type	Volume	Price	S / L	T / P	Time	Price	Commission	Swap	Profit	
 2026.04.01 14:24:00	152000047925	EURUSD	buy	0.01	 1.15205			2026.04.01 16:23:06	 1.15255	0.00	0.00	 0.01	
 2026.04.01 21:34:06	152000048330	EURUSD	buy	0.01	 1.15774			2026.04.01 23:23:40	 1.15824	0.00	0.00	 0.01	
 2026.04.02 05:11:40	152000048519	EURUSD	sell	0.01	 1.15251			2026.04.02 07:10:41	 1.15201	0.00	0.00	 0.01	
 2026.04.02 11:43:41	152000048627	EURUSD	buy	0.01	 1.15589			2026.04.02 12:24:52	 1.15539	0.00	0.00	- 0.01	
 2026.04.02 16:28:52	152000048970	EURUSD	buy	0.01	 1.15746			2026.04.02 17:42:32	 1.15796	0.00	0.00	 0.01	
 2026.04.02 23:34:32	152000049384	EURUSD	sell	0.01	 1.15222			2026.04.03 00:23:16	 1.15272	0.00	0.00	- 0.01	
 2026.04.03 05:11:16	152000049499	EURUSD	sell	0.01	 1.15458			2026.04.03 06:43:59	 1.15508	0.00	0.00	- 0.01	
 2026.04.03 10:41:59	152000049826	EURUSD	sell	0.01	 1.15490			2026.04.03 11:56:05	 1.15540	0.00	0.00	- 0.01	
 2026.04.03 16:00:05	152000050250	EURUSD	buy	0.01	 1.15275			2026.04.03 16:51:57	 1.15225	0.00	0.00	- 0.01	
 2026.04.03 22:54:57	152000050608	EURUSD	buy	0.01	 1.15295			2026.04.04 00:54:31	 1.15345	0.00	0.00	 0.01	
 2026.04.04 07:30:31	152000051101	EURUSD	sell	0.01	 1.15651			2026.04.04 08:19:40	 1.15601	0.00	0.00	 0.01	
 2026.04.04 13:04:40	152000051433	EURUSD	buy	0.01	 1.15414			2026.04.04 14:20:48	 1.15364	0.00	0.00	- 0.01	
 2026.04.04 20:52:48	152000051611	EURUSD	buy	0.01	 1.15255			2026.04.04 22:06:56	 1.15305	0.00	0.00	 0.01	
 2026.04.05 02:20:56	152000052092	EURUSD	buy	0.01	 1.15432			2026.04.05 04:07:29	 1.15382	0.00	0.00	- 0.01	
 2026.04.05 10:23:29	152000052535	EURUSD	buy	0.01	 1.15562			2026.04.05 11:08:17	 1.15612	0.00	0.00	 0.01	
 2026.04.05 16:29:17	152000053004	EURUSD	sell	0.01	 1.15868			2026.04.05 18:24:34	 1.15818	0.00	0.00	 0.01	
 2026.04.06 00:22:34	152000053183	EURUSD	sell	0.01	 1.15507			2026.04.06 01:30:42	 1.15557	0.00	0.00	- 0.01	
 2026.04.06 07:43:42	152000053673	EURUSD	sell	0.01	 1.15368			2026.04.06 08:51:42	 1.15318	0.00	0.00	 0.01	
 2026.04.06 15:08:42	152000054102	EURUSD	sell	0.01	 1.15614			2026.04.06 16:56:19	 1.15664	0.00	0.00	- 0.01	
 2026.04.06 21:51:19	152000054341	EURUSD	sell	0.01	 1.15029			2026.04.06 23:37:41	 1.14979	0.00	0.00	 0.01	
 2026.04.07 04:15:41	152000054730	EURUSD	sell	0.01	 1.15870			2026.04.07 05:23:45	 1.15920	0.00	0.00	- 0.01	
 2026.04.07 09:21:45	152000055101	EURUSD	buy	0.01	 1.15092			2026.04.07 10:52:25	 1.15142	0.00	0.00	 0.01	
 2026.04.07 15:47:25	152000055598	EURUSD	buy	0.01	 1.15722			2026.04.07 16:40:00	 1.15772	0.00	0.00	 0.01	
 2026.04.07 21:20:00	152000055723	EURUSD	buy	0.01	 1.15754			2026.04.07 22:04:13	 1.15704	0.00	0.00	- 0.01	
 2026.04.08 04:30:13	152000055962	EURUSD	buy	0.01	 1.15442			2026.04.08 05:44:08	 1.15492	0.00	0.00	 0.01	
 2026.04.08 10:32:08	152000056365	EURUSD	buy	0.01	 1.15678			2026.04.08 11:46:32	 1.15628	0.00	0.00	- 0.01	
 2026.04.08 18:04:32	152000056569	EURUSD	buy	0.01	 1.15055			2026.04.08 19:02:10	 1.15105	0.00	0.00	 0.01	
 2026.04.08 23:55:10	152000056672	EURUSD	sell	0.01	 1.15328			2026.04.09 01:36:18	 1.15378	0.00	0.00	- 0.01	
 2026.04.09 08:21:18	152000057058	EURUSD	buy	0.01	 1.15230			2026.04.09 09:31:43	 1.15180	0.00	0.00	- 0.01	
 2026.04.09 13:37:43	152000057393	EURUSD	buy	0.01	 1.15436			2026.04.09 14:49:29	 1.15386	0.00	0.00	- 0.01	
 2026.04.09 20:31:29	152000057706	EURUSD	buy	0.01	 1.15709			2026.04.09 21:45:50	 1.15759	0.00	0.00	 0.01	
 2026.04.10 04:02:50	152000058159	EURUSD	buy	0.01	 1.15460			2026.04.10 05:08:48	 1.15510	0.00	0.00	 0.01	
 2026.04.10 10:58:48	152000058527	EURUSD	buy	0.01	 1.15589			2026.04.10 11:47:17	 1.15639	0.00	0.00	 0.01	
 2026.04.10 16:44:17	152000058666	EURUSD	buy	0.01	 1.15779			2026.04.10 17:51:26	 1.15829	0.00	0.00	 0.01	
 2026.04.10 23:06:26	152000059096	EURUSD	sell	0.01	 1.15351			2026.04.11 00:01:57	 1.15401	0.00	0.00	- 0.01	
 2026.04.11 04:41:57	152000059585	EURUSD	buy	0.01	 1.15602			2026.04.11 05:42:26	 1.15652	0.00	0.00	 0.01	
 2026.04.11 11:42:26	152000059973	EURUSD	buy	0.01	 1.15464			2026.04.11 13:24:15	 1.15414	0.00	0.00	- 0.01	
 2026.04.11 20:02:15	152000060392	EURUSD	sell	0.01	 1.15635			2026.04.11 21:52:49	 1.15685	0.00	0.00	- 0.01	
 2026.04.12 01:49:49	152000060815	EURUSD	sell	0.01	 1.15469			2026.04.12 02:41:54	 1.15519	0.00	0.00	- 0.01	
 2026.04.12 06:38:54	152000061146	EURUSD	sell	0.01	 1.15310			2026.04.12 07:47:03	 1.15360	0.00	0.00	- 0.01	
 2026.04.12 11:41:03	152000061505	EURUSD	sell	0.01	 1.15615			2026.04.12 12:27:11	 1.15565	0.00	0.00	 0.01	
 2026.04.12 16:19:11	152000061897	EURUSD	sell	0.01	 1.15450			2026.04.12 18:02:32	 1.15400	0.00	0.00	 0.01	
 2026.04.12 22:07:32	152000062172	EURUSD	sell	0.01	 1.15451			2026.04.12 23:27:39	 1.15401	0.00	0.00	 0.01	
 2026.04.13 05:11:39	152000062540	EURUSD	sell	0.01	 1.15991			2026.04.13 05:54:47	 1.15941	0.00	0.00	 0.01	
 2026.04.13 11:19:47	152000062813	EURUSD	buy	0.01	 1.15409			2026.04.13 13:13:13	 1.15359	0.00	0.00	- 0.01	
 2026.04.13 17:20:13	152000063198	EURUSD	sell	0.01	 1.15330			2026.04.13 18:52:00	 1.15380	0.00	0.00	- 0.01	
 2026.04.14 01:17:00	152000063468	EURUSD	buy	0.01	 1.15873			2026.04.14 03:05:07	 1.15923	0.00	0.00	 0.01	
 2026.04.14 09:24:07	152000063768	EURUSD	buy	0.01	 1.15698			2026.04.14 10:32:06	 1.15648	0.00	0.00	- 0.01	
 2026.04.14 15:42:06	152000064036	EURUSD	sell	0.01	 1.15643			2026.04.14 16:46:52	 1.15693	0.00	0.00	- 0.01	
 2026.04.14 23:37:52	152000064183	EURUSD	sell	0.01	 1.15912			2026.04.15 01:33:38	 1.15862	0.00	0.00	 0.01	

Orders
 Open Time	Order	Symbol	Type	Volume	Price	S / L	T / P	Time	State		Comment		

Deals
 Time	Deal	Symbol	Type	Direction	Volume	Price	Order	Commission	Fee	Swap	Profit	Balance	Comment
