Positions
 Time	Position	Symbol	Type	Volume	Price	S / L	T / P	Time	Price	Commission	Swap	Profit	
 2026.04.01 12:12:00	152000000152	EURUSD	buy	0.01	 1.15140			2026.04.01 12:47:57	 1.15090	0.00	0.00	- 0.01	
 2026.04.01 16:01:00	152000000371	EURUSD	buy	0.01	 1.15094			2026.04.01 16:31:40	 1.15044	0.00	0.00	- 0.01	
 2026.04.01 17:11:40	152000000613	EURUSD	buy	0.03	 1.15449			2026.04.01 17:46:12	 1.15399	0.00	0.00	- 0.01	
 2026.04.01 18:21:12	152000000885	EURUSD	buy	0.03	 1.15957			2026.04.01 18:43:07	 1.15907	0.00	0.00	- 0.01	
 2026.04.01 19:43:07	152000001259	EURUSD	sell	0.03	 1.15730			2026.04.01 20:14:15	 1.15680	0.00	0.00	 0.01	
 2026.04.02 02:01:07	152000001544	EURUSD	buy	0.01	 1.15629			2026.04.02 02:13:52	 1.15679	0.00	0.00	 0.01	
 2026.04.02 05:41:07	152000001684	EURUSD	buy	0.01	 1.15289			2026.04.02 05:52:43	 1.15239	0.00	0.00	- 0.01	
 2026.04.02 12:00:07	152000001973	EURUSD	sell	0.01	 1.15365			2026.04.02 12:19:51	 1.15415	0.00	0.00	- 0.01	
 2026.04.02 12:43:51	152000002267	EURUSD	sell	0.03	 1.15163			2026.04.02 12:59:50	 1.15113	0.00	0.00	 0.01	
 2026.04.02 20:33:51	152000002395	EURUSD	buy	0.01	 1.15768			2026.04.02 20:51:32	 1.15818	0.00	0.00	 0.01	
 2026.04.02 23:54:51	152000002785	EURUSD	buy	0.01	 1.15066			2026.04.03 00:33:01	 1.15116	0.00	0.00	 0.01	
 2026.04.03 05:40:51	152000003214	EURUSD	buy	0.01	 1.15885			2026.04.03 05:58:17	 1.15835	0.00	0.00	- 0.01	
 2026.04.03 06:44:17	152000003612	EURUSD	sell	0.03	 1.15428			2026.04.03 07:13:09	 1.15478	0.00	0.00	- 0.01	
 2026.04.03 07:45:09	152000004033	EURUSD	buy	0.03	 1.15110			2026.04.03 07:58:20	 1.15160	0.00	0.00	 0.01	
 2026.04.03 14:26:09	152000004372	EURUSD	buy	0.01	 1.15596			2026.04.03 14:57:01	 1.15646	0.00	0.00	 0.01	
 2026.04.03 22:14:09	152000004821	EURUSD	buy	0.01	 1.15721			2026.04.03 22:54:17	 1.15671	0.00	0.00	- 0.01	
 2026.04.04 04:13:09	152000005290	EURUSD	buy	0.01	 1.15454			2026.04.04 04:27:03	 1.15404	0.00	0.00	- 0.01	
 2026.04.04 05:46:03	152000005717	EURUSD	buy	0.03	 1.15625			2026.04.04 06:13:49	 1.15575	0.00	0.00	- 0.01	
